state,act_participation_2017,act_english_2017,act_math_2017,act_reading_2017,act_science_2017,act_composite_2017,act_participation_2018,act_composite_2018,sat_participation_2017,sat_verbal_2017,sat_math_2017,sat_total_2017,sat_participation_2018,sat_verbal_2018,sat_math_2018,sat_total_2018
alabama,1.0,18.9,18.4,19.7,19.4,19.2,1.0,19.1,0.05,593,572,1165,0.06,595,571,1166
alaska,0.65,18.7,19.8,20.4,19.9,19.8,0.33,20.8,0.38,547,533,1080,0.43,562,544,1106
arizona,0.62,18.6,19.8,20.1,19.8,19.7,0.66,19.2,0.3,563,553,1116,0.29,577,572,1149
arkansas,1.0,18.9,19.0,19.7,19.5,19.4,1.0,19.4,0.03,614,594,1208,0.05,592,576,1169
california,0.31,22.5,22.7,23.1,22.2,22.8,0.27,22.7,0.53,531,524,1055,0.6,540,536,1076
colorado,1.0,20.1,20.3,21.2,20.9,20.8,0.3,23.9,0.11,606,595,1201,1.0,519,506,1025
connecticut,0.31,25.5,24.6,25.6,24.6,25.2,0.26,25.6,1.0,530,512,1041,1.0,535,519,1053
delaware,0.18,24.1,23.4,24.8,23.6,24.1,0.17,23.8,1.0,503,492,996,1.0,505,492,998
district of columbia,0.32,24.4,23.5,24.9,23.5,24.2,0.32,23.6,1.0,482,468,950,0.92,497,480,977
florida,0.73,19.0,19.4,21.0,19.4,19.8,0.66,19.9,0.83,520,497,1017,0.56,550,549,1099
georgia,0.55,21.0,20.9,22.0,21.3,21.4,0.53,21.4,0.61,535,515,1050,0.7,542,522,1064
hawaii,0.9,17.8,19.2,19.2,19.3,19.0,0.89,18.9,0.55,544,541,1085,0.56,480,530,1010
idaho,0.38,21.9,21.8,23.0,22.1,22.3,0.36,22.3,0.93,513,493,1005,1.0,508,493,1001
illinois,0.93,21.0,21.2,21.6,21.3,21.4,0.43,23.9,0.09,559,556,1115,0.99,513,506,1019
indiana,0.35,22.0,22.4,23.2,22.3,22.6,0.32,22.5,0.63,542,532,1074,0.63,542,532,1074
